090020014C-4,4,Impasse des Coquelicots,09600,Aigues-Vives,C+O,42.993386,1.876314
090020014C-6,6,Impasse des Coquelicots,09600,Aigues-Vives,C+O,42.993670,1.876035
090020014C-8,8,Impasse des Coquelicots,09600,Aigues-Vives,C+O,42.993617,1.875690
090020015D-1,1,Rue de la Coste,09600,Aigues-Vives,C+O,42.997255,1.875476
090020015D-2,2,Rue de la Coste,09600,Aigues-Vives,C+O,42.997485,1.875319
090020015D-3,3,Rue de la Coste,09600,Aigues-Vives,C+O,42.996970,1.875451
090020015D-5,5,Rue de la Coste,09600,Aigues-Vives,C+O,42.996949,1.875234
090020015D-6,6,Rue de la Coste,09600,Aigues-Vives,C+O,42.997199,1.875129
090020015D-8,8,Rue de la Coste,09600,Aigues-Vives,C+O,42.997126,1.875113
090020018G-1,1,Rue des Écoles,09600,Aigues-Vives,C+O,42.995920,1.875413
090020018G-2,2,Rue des Écoles,09600,Aigues-Vives,C+O,42.995913,1.875611
090020018G-3,3,Rue des Écoles,09600,Aigues-Vives,C+O,42.995914,1.875067
090020020J-10,10,Place de l'Église,09600,Aigues-Vives,C+O,42.996207,1.875587
090020020J-12,12,Place de l'Église,09600,Aigues-Vives,C+O,42.996183,1.875664
090020020J-2,2,Place de l'Église,09600,Aigues-Vives,C+O,42.996396,1.874946
090020020J-4,4,Place de l'Église,09600,Aigues-Vives,C+O,42.996374,1.875020
090020020J-6,6,Place de l'Église,09600,Aigues-Vives,C+O,42.996392,1.875399
090020020J-8,8,Place de l'Église,09600,Aigues-Vives,C+O,42.996346,1.875536
090020021K-2,2,Chemin de Las Fages,09600,Aigues-Vives,CAD,42.999766,1.876830
090020021K-5,5,Chemin de Las Fages,09600,Aigues-Vives,CAD,42.999448,1.876389
090020022L-10,10,Rue du Faubourg,09600,Aigues-Vives,C+O,42.997920,1.875737
090020022L-12,12,Rue du Faubourg,09600,Aigues-Vives,C+O,42.996460,1.874328
090020022L-14,14,Rue du Faubourg,09600,Aigues-Vives,C+O,42.997869,1.875518
090020022L-2,2,Rue du Faubourg,09600,Aigues-Vives,C+O,42.998068,1.876046
090020022L-4,4,Rue du Faubourg,09600,Aigues-Vives,C+O,42.998260,1.875908
090020022L-6,6,Rue du Faubourg,09600,Aigues-Vives,C+O,42.998529,1.875388
090020022L-8,8,Rue du Faubourg,09600,Aigues-Vives,C+O,42.998178,1.875164
090020032X-10,10,Rue de la Fontaine,09600,Aigues-Vives,C+O,42.996914,1.876324
090020032X-1,1,Rue de la Fontaine,09600,Aigues-Vives,C+O,42.997660,1.876494
090020032X-12,12,Rue de la Fontaine,09600,Aigues-Vives,C+O,42.996674,1.876318
090020032X-2,2,Rue de la Fontaine,09600,Aigues-Vives,C+O,42.997419,1.876338
090020032X-3,3,Rue de la Fontaine,09600,Aigues-Vives,C+O,42.997519,1.876745
090020032X-3B,3BIS,Rue de la Fontaine,09600,Aigues-Vives,C+O,42.997196,1.876717
090020032X-4,4,Rue de la Fontaine,09600,Aigues-Vives,C+O,42.997293,1.876320
090020032X-481,481,Rue de la Fontaine,09600,Aigues-Vives,C+O,42.996690,1.876157
090020032X-5,5,Rue de la Fontaine,09600,Aigues-Vives,C+O,42.997089,1.876416
090020032X-5B,5BIS,Rue de la Fontaine,09600,Aigues-Vives,C+O,42.996911,1.876565
090020032X-6,6,Rue de la Fontaine,09600,Aigues-Vives,C+O,42.997136,1.876338
090020032X-7,7,Rue de la Fontaine,09600,Aigues-Vives,C+O,42.996715,1.876370
090020032X-8,8,Rue de la Fontaine,09600,Aigues-Vives,C+O,42.997059,1.876334
090020033Y-1,1,Impasse des Frênes,09600,Aigues-Vives,C+O,42.995504,1.877691
090020033Y-2,2,Impasse des Frênes,09600,Aigues-Vives,C+O,42.995785,1.877781
090020035A-10,10,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.996375,1.879117
090020035A-1,1,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.994320,1.878229
090020035A-12,12,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.996292,1.879077
090020035A-14,14,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.995738,1.878797
090020035A-16,16,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.995662,1.878605
090020035A-18,18,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.995124,1.878489
090020035A-20,20,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.994688,1.878273
090020035A-22,22,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.994419,1.878139
090020035A-2,2,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.997677,1.879771
090020035A-24,24,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.994296,1.878080
090020035A-26,26,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.994086,1.877975
090020035A-4,4,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.997058,1.879449
090020035A-6,6,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.996558,1.879205
090020035A-8,8,Avenue du 8 Mai 1945,09600,Aigues-Vives,C+O,42.996466,1.879161
090020038D-1,1,Chemin de Laborie,09600,Aigues-Vives,C+O,42.997749,1.882459
090020038D-2,2,Chemin de Laborie,09600,Aigues-Vives,C+O,42.997787,1.882118
090020038D-3,3,Chemin de Laborie,09600,Aigues-Vives,C+O,42.997785,1.882974
090020038D-4,4,Chemin de Laborie,09600,Aigues-Vives,C+O,42.997638,1.882877
090020039E-1,1,Impasse des Lavandes,09600,Aigues-Vives,C+O,42.997396,1.875037
090020039E-2,2,Impasse des Lavandes,09600,Aigues-Vives,C+O,42.997424,1.875079
090020039E-2B,2BIS,Impasse des Lavandes,09600,Aigues-Vives,C+O,42.997515,1.875047
090020039E-4,4,Impasse des Lavandes,09600,Aigues-Vives,C+O,43.003724,1.875578
090020040F-11,11,Route de Léran,09600,Aigues-Vives,C+O,42.995415,1.882813
090020040F-1,1,Route de Léran,09600,Aigues-Vives,C+O,42.996584,1.879624
090020040F-2,2,Route de Léran,09600,Aigues-Vives,C+O,42.996201,1.879992
090020040F-3,3,Route de Léran,09600,Aigues-Vives,C+O,42.996110,1.880349
090020040F-4,4,Route de Léran,09600,Aigues-Vives,C+O,42.995716,1.881267
090020040F-5,5,Route de Léran,09600,Aigues-Vives,C+O,42.995565,1.882050
090020040F-6,6,Route de Léran,09600,Aigues-Vives,C+O,42.995649,1.881523
090020040F-7,7,Route de Léran,09600,Aigues-Vives,C+O,42.995477,1.882393
090020040F-8,8,Route de Léran,09600,Aigues-Vives,C+O,42.995447,1.881792
090020040F-9,9,Route de Léran,09600,Aigues-Vives,C+O,42.996018,1.882837
090020050S-10,10,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994913,1.879555
090020050S-11,11,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994431,1.880912
090020050S-1,1,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.995098,1.880979
090020050S-13,13,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994268,1.881327
090020050S-16,16,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994121,1.881007
090020050S-17,17,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994239,1.880285
090020050S-180,180,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.993772,1.880435
090020050S-18,18,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994576,1.878829
090020050S-182,182,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994177,1.879955
090020050S-185,185,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994500,1.880044
090020050S-1B,1BIS,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.995532,1.880813
090020050S-21,21,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.993622,1.879948
090020050S-22,22,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.993856,1.879857
090020050S-2,2,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.995315,1.880232
090020050S-24,24,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.993966,1.879486
090020050S-28,28,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994199,1.878668
090020050S-2C,2C,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.995498,1.880423
090020050S-30,30,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.993692,1.878290
090020050S-3,3,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994474,1.881283
090020050S-36,36,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.993260,1.879594
090020050S-38,38,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.992923,1.879313
090020050S-3B,3BIS,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994903,1.881393
090020050S-40,40,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.993073,1.878946
090020050S-4,4,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.995370,1.879663
090020050S-5,5,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994344,1.881673
090020050S-5B,5BIS,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994584,1.881682
090020050S-6,6,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.995226,1.879586
090020050S-6A,6A,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.995251,1.879277
090020050S-7,7,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.995028,1.880776
090020050S-7A,7A,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.993588,1.878763
090020050S-8,8,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.995038,1.880231
090020050S-9,9,Chemin de Lestrade,09600,Aigues-Vives,C+O,42.994711,1.880454
090020064G-10,10,Rue de la Paix,09600,Aigues-Vives,C+O,42.996360,1.874793
090020064G-1,1,Rue de la Paix,09600,Aigues-Vives,C+O,42.996475,1.874953
090020064G-2,2,Rue de la Paix,09600,Aigues-Vives,C+O,42.996847,1.875035
090020064G-4,4,Rue de la Paix,09600,Aigues-Vives,C+O,42.996684,1.874982
090020064G-6,6,Rue de la Paix,09600,Aigues-Vives,C+O,42.996530,1.874891
090020064G-8,8,Rue de la Paix,09600,Aigues-Vives,C+O,42.996437,1.874838
090020065H-1,1,Impasse Louis Pasteur,09600,Aigues-Vives,C+O,42.990577,1.872242
090020065H-195,195,Impasse Louis Pasteur,09600,Aigues-Vives,C+O,42.990290,1.872178
090020065H-2,2,Impasse Louis Pasteur,09600,Aigues-Vives,C+O,42.990852,1.871720
090020065H-4,4,Impasse Louis Pasteur,09600,Aigues-Vives,C+O,42.991246,1.871752
090020065H-4A,4A,Impasse Louis Pasteur,09600,Aigues-Vives,C+O,42.990663,1.870417
090020066J-2,2,Chemin de la Plantation,09600,Aigues-Vives,CAD,42.994797,1.872011
090020066J-2B,2BIS,Chemin de la Plantation,09600,Aigues-Vives,CAD,42.995104,1.872816
090020066J-4,4,Chemin de la Plantation,09600,Aigues-Vives,CAD,42.995368,1.872286
090020066J-4B,4BIS,Chemin de la Plantation,09600,Aigues-Vives,CAD,42.995256,1.873821
090020066J-6,6,Chemin de la Plantation,09600,Aigues-Vives,CAD,42.995645,1.872501
090020066J-8,8,Chemin de la Plantation,09600,Aigues-Vives,CAD,42.995605,1.872696
090020068L-1,1,Chemin des Prairies,09600,Aigues-Vives,C+O,42.996145,1.874387
090020068L-5,5,Chemin des Prairies,09600,Aigues-Vives,C+O,42.996140,1.874204
090020068L-5A,5A,Chemin des Prairies,09600,Aigues-Vives,C+O,42.995913,1.874097
090020068L-7,7,Chemin des Prairies,09600,Aigues-Vives,C+O,42.996143,1.873881
090020069M-12,12,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.991366,1.873789
090020069M-12B,12BIS,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.992867,1.873027
090020069M-13,13,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.992317,1.873060
090020069M-14,14,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.991067,1.874652
090020069M-15,15,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.992258,1.874194
090020069M-16,16,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.991647,1.874053
090020069M-17,17,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.992259,1.874207
090020069M-18,18,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.992020,1.874335
090020069M-184,184,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.991596,1.873471
090020069M-19,19,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.992620,1.874546
090020069M-20,20,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.992387,1.874714
090020069M-21,21,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.992955,1.872861
090020069M-21B,21BIS,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.992867,1.873038
090020069M-2,2,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.990377,1.872698
090020069M-23,23,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.993273,1.872184
090020069M-25,25,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.993054,1.873609
090020069M-27,27,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.993075,1.873119
090020069M-29,29,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.992954,1.873489
090020069M-31,31,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.993086,1.874576
090020069M-3,3,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.990721,1.872828
090020069M-3A,3A,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.990893,1.872785
090020069M-4,4,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.990540,1.872767
090020069M-5,5,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.991106,1.873185
090020069M-6,6,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.990747,1.872968
090020069M-7,7,Chemin des Prats d'Amount,09600,Aigues-Vives,C+O,42.991165,1.873280
090020079Y-2,2,Impasse des Rosiers,09600,Aigues-Vives,C+O,42.997062,1.875051
090020079Y-4,4,Impasse des Rosiers,09600,Aigues-Vives,C+O,42.997156,1.874806
090020079Y-6,6,Impasse des Rosiers,09600,Aigues-Vives,C+O,42.997194,1.874405
090020081A-10,10,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.997358,1.881585
090020081A-11,11,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.997061,1.882364
090020081A-1,1,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.996045,1.880992
090020081A-12,12,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.997729,1.881623
090020081A-14,14,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.998122,1.881409
090020081A-15,15,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.997443,1.881714
090020081A-16,16,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.998216,1.880957
090020081A-17,17,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.998269,1.882085
090020081A-18,18,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.998290,1.881363
090020081A-187,187,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.997469,1.880816
090020081A-20,20,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.998466,1.881827
090020081A-22,22,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.998731,1.881317
090020081A-2,2,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.996216,1.881005
090020081A-24,24,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.998637,1.881876
090020081A-24B,24BIS,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.998916,1.881517
090020081A-3,3,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.996266,1.881178
090020081A-4,4,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.996606,1.881199
090020081A-5,5,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.996439,1.881224
090020081A-6,6,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.996855,1.881345
090020081A-6B,6BIS,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.997253,1.880907
090020081A-7,7,Chemin de Saint-Roch,09600,Aigues-Vives,C+O,42.996563,1.881305
